type,model,origin,destination,distance,duration
lgv,manhattan,b0:b1,b2:a2,343.43,30.9
lgv,manhattan,b0:b1,b3:b4,473.4,42.6
lgv,manhattan,b0:b1,c1:c0,362.03,32.6
lgv,manhattan,b0:b1,d1:e1,479.93,43.2
lgv,manhattan,b0:b1,d3:d4,705.53,63.4
lgv,manhattan,b0:b1,d3:e3,712.06,64.0
lgv,manhattan,c4:c3,b2:a2,479.93,43.2
lgv,manhattan,c4:c3,b3:b4,602.03,54.1
lgv,manhattan,c4:c3,c1:c0,473.4,42.6
lgv,manhattan,c4:c3,d1:e1,583.43,52.5
lgv,manhattan,c4:c3,d3:d4,329.03,29.6
lgv,manhattan,c4:c3,d3:e3,343.43,30.9
lgv,manhattan,d0:d1,b2:a2,583.43,52.5
lgv,manhattan,d0:d1,b3:b4,705.53,63.4
lgv,manhattan,d0:d1,c1:c0,569.03,51.2
lgv,manhattan,d0:d1,d1:e1,239.93,21.6
lgv,manhattan,d0:d1,d3:d4,473.4,42.6
lgv,manhattan,d0:d1,d3:e3,479.93,43.2
lgv,manhattan,e2:d2,b2:a2,473.4,42.6
lgv,manhattan,e2:d2,b3:b4,595.5,53.5
lgv,manhattan,e2:d2,c1:c0,459.0,41.3
lgv,manhattan,e2:d2,d1:e1,569.03,51.2
lgv,manhattan,e2:d2,d3:d4,355.5,32.0
lgv,manhattan,e2:d2,d3:e3,362.03,32.6
hgv,manhattan,a1:b1,b2:a2,328.43,29.5
hgv,manhattan,a1:b1,b3:b4,458.4,41.2
hgv,manhattan,a1:b1,c1:c0,354.9,31.9
hgv,manhattan,a1:b1,d1:e1,472.8,42.5
hgv,manhattan,a1:b1,d3:d4,698.4,62.7
hgv,manhattan,a1:b1,d3:e3,704.93,63.3
hgv,manhattan,a3:b3,b2:a2,601.43,54.0
hgv,manhattan,a3:b3,b3:b4,218.4,19.6
hgv,manhattan,a3:b3,c1:c0,594.9,53.4
hgv,manhattan,a3:b3,d1:e1,704.93,63.3
hgv,manhattan,a3:b3,d3:d4,458.4,41.2
hgv,manhattan,a3:b3,d3:e3,472.8,42.5
hgv,manhattan,b0:b1,b2:a2,342.83,30.8
hgv,manhattan,b0:b1,b3:b4,472.8,42.4
hgv,manhattan,b0:b1,c1:c0,361.43,32.5
hgv,manhattan,b0:b1,d1:e1,479.33,43.0
hgv,manhattan,b0:b1,d3:d4,704.93,63.3
hgv,manhattan,b0:b1,d3:e3,711.46,63.9
hgv,manhattan,c4:c3,b2:a2,479.33,43.0
hgv,manhattan,c4:c3,b3:b4,601.43,54.0
hgv,manhattan,c4:c3,c1:c0,472.8,42.5
hgv,manhattan,c4:c3,d1:e1,582.83,52.3
hgv,manhattan,c4:c3,d3:d4,328.43,29.5
hgv,manhattan,c4:c3,d3:e3,342.83,30.8
hgv,manhattan,d0:d1,b2:a2,582.83,52.3
hgv,manhattan,d0:d1,b3:b4,704.93,63.3
hgv,manhattan,d0:d1,c1:c0,568.43,51.0
hgv,manhattan,d0:d1,d1:e1,239.33,21.5
hgv,manhattan,d0:d1,d3:d4,472.8,42.5
hgv,manhattan,d0:d1,d3:e3,479.33,43.0
hgv,manhattan,e2:d2,b2:a2,472.8,42.5
hgv,manhattan,e2:d2,b3:b4,594.9,53.4
hgv,manhattan,e2:d2,c1:c0,458.4,41.2
hgv,manhattan,e2:d2,d1:e1,568.43,51.0
hgv,manhattan,e2:d2,d3:d4,354.9,31.9
hgv,manhattan,e2:d2,d3:e3,361.43,32.5
motorcycle,manhattan,a1:b1,b2:a2,333.33,30.2
motorcycle,manhattan,a1:b1,b3:b4,463.3,41.9
motorcycle,manhattan,a1:b1,c1:c0,359.8,32.6
motorcycle,manhattan,a1:b1,d1:e1,477.7,43.2
motorcycle,manhattan,a1:b1,d3:d4,703.3,63.7
motorcycle,manhattan,a1:b1,d3:e3,709.83,64.3
motorcycle,manhattan,a3:b3,b2:a2,606.33,54.9
motorcycle,manhattan,a3:b3,b3:b4,223.3,20.2
motorcycle,manhattan,a3:b3,c1:c0,599.8,54.3
motorcycle,manhattan,a3:b3,d1:e1,709.83,64.2
motorcycle,manhattan,a3:b3,d3:d4,463.3,42.0
motorcycle,manhattan,a3:b3,d3:e3,477.7,43.3
motorcycle,manhattan,b0:b1,b2:a2,347.73,31.5
motorcycle,manhattan,b0:b1,b3:b4,477.7,43.2
motorcycle,manhattan,b0:b1,c1:c0,366.33,33.2
motorcycle,manhattan,b0:b1,d1:e1,484.23,43.9
motorcycle,manhattan,b0:b1,d3:d4,709.83,64.2
motorcycle,manhattan,b0:b1,d3:e3,716.36,64.8
motorcycle,manhattan,c4:c3,b2:a2,484.23,43.8
motorcycle,manhattan,c4:c3,b3:b4,606.33,54.9
motorcycle,manhattan,c4:c3,c1:c0,477.7,43.3
motorcycle,manhattan,c4:c3,d1:e1,587.73,53.2
motorcycle,manhattan,c4:c3,d3:d4,333.33,30.2
motorcycle,manhattan,c4:c3,d3:e3,347.73,31.5
motorcycle,manhattan,d0:d1,b2:a2,587.73,53.2
motorcycle,manhattan,d0:d1,b3:b4,709.83,64.2
motorcycle,manhattan,d0:d1,c1:c0,573.33,51.9
motorcycle,manhattan,d0:d1,d1:e1,244.23,22.1
motorcycle,manhattan,d0:d1,d3:d4,477.7,43.3
motorcycle,manhattan,d0:d1,d3:e3,484.23,43.8
motorcycle,manhattan,e2:d2,b2:a2,477.7,43.2
motorcycle,manhattan,e2:d2,b3:b4,599.8,54.3
motorcycle,manhattan,e2:d2,c1:c0,463.3,42.0
motorcycle,manhattan,e2:d2,d1:e1,573.33,51.9
motorcycle,manhattan,e2:d2,d3:d4,359.8,32.6
motorcycle,manhattan,e2:d2,d3:e3,366.33,33.2
car,twinT,10:9,2:8,402.55,29.2
car,twinT,10:9,3:7,494.42,35.8
car,twinT,10:9,5:6,471.62,34.2
car,twinT,6:5,2:8,502.55,36.4
car,twinT,6:5,3:7,394.42,28.6
car,twinT,6:5,9:10,479.24,35.3
car,twinT,7:3,2:8,515.8,37.4
car,twinT,7:3,5:6,392.49,29.1
car,twinT,7:3,9:10,492.49,36.3
car,twinT,8:2,3:7,515.8,37.4
car,twinT,8:2,5:6,493.0,35.7
car,twinT,8:2,9:10,393.0,28.5
bus,twinT,10:9,2:8,394.85,28.5
bus,twinT,10:9,3:7,486.72,35.1
bus,twinT,10:9,5:6,463.92,33.5
bus,twinT,6:5,2:8,494.85,35.7
bus,twinT,6:5,3:7,386.72,27.9
bus,twinT,6:5,9:10,471.54,34.7
bus,twinT,7:3,2:8,508.1,36.7
bus,twinT,7:3,5:6,384.79,28.4
bus,twinT,7:3,9:10,484.79,35.6
bus,twinT,8:2,3:7,508.1,36.7
bus,twinT,8:2,5:6,485.3,35.0
bus,twinT,8:2,9:10,385.3,27.8
lgv,twinT,10:9,2:8,400.35,29.0
lgv,twinT,10:9,3:7,492.22,35.6
lgv,twinT,10:9,5:6,469.42,34.0
lgv,twinT,6:5,2:8,500.35,36.2
lgv,twinT,6:5,3:7,392.22,28.4
lgv,twinT,6:5,9:10,477.04,35.1
lgv,twinT,7:3,2:8,513.6,37.2
lgv,twinT,7:3,5:6,390.29,28.9
lgv,twinT,7:3,9:10,490.29,36.1
lgv,twinT,8:2,3:7,513.6,37.2
lgv,twinT,8:2,5:6,490.8,35.5
lgv,twinT,8:2,9:10,390.8,28.3
hgv,twinT,10:9,2:8,399.75,28.9
hgv,twinT,10:9,3:7,491.62,35.5
hgv,twinT,10:9,5:6,468.82,33.9
hgv,twinT,6:5,2:8,499.75,36.1
hgv,twinT,6:5,3:7,391.62,28.3
hgv,twinT,6:5,9:10,476.44,35.0
hgv,twinT,7:3,2:8,513.0,37.1
hgv,twinT,7:3,5:6,389.69,28.8
hgv,twinT,7:3,9:10,489.69,36.0
