PID,age,gender,education,socialMediaUsage,socialMediaAcceptance,hasLicence,hasCarAccess,rideShareUsage,pedCycleFreq,rank_car,rank_ev,rank_bus,rank_motorbike,rank_lgv,rank_hgv,rank_none,tlGripe,mapUsage,mapHelp,position,speed,signals,passengers,totalStops,stopTime,duration,distance,emissionClass,vehicleType,speedFactor,UTMAcceptance,deliveryMode,busPriority,emergencyPriority,sharedPriority,evPriority,tradePriority
3488449,25-39,Female,BACHELORS,DAILY,7,YES,YES,RARELY,WEEKLY_MULTI,1,-1,-1,-1,-1,-1,-1,WAITING,RARELY,YES,4,3,4,4,4,4,5,5,5,5,2,9,BUILTIN,NO,YES,YES,YES,NO
3488483,25-39,Female,MASTERS,WEEKLY_MULTI,6,YES,NO,MONTHLY,MONTHLY,2,-1,3,1,-1,-1,-1,WAITING,MONTHLY,YES,5,4,5,5,4,5,5,5,5,5,2,8,APP,YES,YES,NA,NA,NA
3488506,40-59,Male,DOCTORATE,MONTHLY,1,YES,NO,WEEKLY_ONCE,WEEKLY_MULTI,-1,-1,-1,-1,-1,-1,1,WAITING,WEEKLY_ONCE,NO,1,1,1,1,1,1,1,1,1,1,1,1,NOSHARE,YES,YES,NO,NO,NO
3488597,25-39,Male,MASTERS,DAILY,9,NO,NO,WEEKLY_MULTI,WEEKLY_MULTI,-1,-1,-1,-1,-1,-1,1,WAITING,MONTHLY,YES,1,5,5,1,5,5,5,5,5,1,5,10,BUILTIN,YES,YES,NO,NO,NO
3488688,25-39,Male,MASTERS,WEEKLY_MULTI,2,YES,YES,RARELY,RARELY,2,-1,-1,-1,-1,-1,-1,SUDDENRED,MONTHLY,YES,2,2,2,2,2,2,2,2,2,2,2,2,THIRDPARTY,YES,YES,NO,YES,NO
3488808,40-59,Male,DOCTORATE,MONTHLY,7,YES,YES,RARELY,WEEKLY_MULTI,1,-1,-1,-1,-1,-1,-1,STARTSTOP,MONTHLY,YES,4,3,5,4,4,4,5,5,5,5,3,7,APP,YES,YES,NO,YES,NO
3488817,40-59,Male,DOCTORATE,DAILY,4,YES,NO,WEEKLY_MULTI,RARELY,-1,-1,1,-1,-1,-1,-1,NA,WEEKLY_ONCE,NA,4,5,5,3,5,5,5,5,4,5,5,10,BUILTIN,YES,YES,YES,YES,YES
3488972,25-39,Male,BACHELORS,DAILY,6,NO,NO,WEEKLY_MULTI,WEEKLY_ONCE,2,-1,1,-1,-1,-1,-1,WAITING,RARELY,YES,3,1,5,1,4,4,4,4,5,5,1,6,APP,YES,YES,NO,NO,NO
3489821,60+,Male,MASTERS,DAILY,1,YES,YES,MONTHLY,RARELY,1,-1,-1,-1,-1,-1,-1,WAITING,RARELY,NA,2,3,4,1,3,3,2,2,4,4,2,4,APP,YES,YES,NO,NO,NO
3489904,18-24,Male,BACHELORS,DAILY,8,YES,YES,WEEKLY_MULTI,WEEKLY_MULTI,1,-1,2,-1,-1,-1,-1,STARTSTOP,WEEKLY_MULTI,YES,5,5,5,3,4,4,5,5,5,5,2,8,APP,YES,YES,NO,YES,NO
3489910,18-24,Male,MASTERS,DAILY,8,YES,NO,NA,WEEKLY_MULTI,2,3,1,4,6,7,-1,STARTSTOP,WEEKLY_ONCE,YES,5,5,4,3,4,3,5,2,3,3,4,7,APP,NO,NA,YES,YES,YES
3490049,25-39,Female,MASTERS,NA,2,NO,NO,WEEKLY_MULTI,WEEKLY_ONCE,-1,-1,1,-1,-1,-1,-1,NA,WEEKLY_ONCE,YES,1,3,1,1,3,3,3,1,1,1,1,1,NOSHARE,YES,YES,NA,NA,NO
